fico_score,sbfe_score,ln_credit_score,ln_blended_score,css_score,fss_score,paydex_score,delinquent_external_trades,external_delinquency_amount,total_tradelines,overall_external_exposure,overall_external_revolving_balance,avg_external_utilization,amex_primary_lender_indicator,ln_business_value,judgements_org_count,lien_org_count,score_date
739,831,692,636,79,64,85,2,12565.2932,14,50259.4327,19349.6014,0.1273,0,1639071.8632,1,1,2024-01-12
744,920,693,769,60,49,92,0,3281.5247,10,27057.4317,3703.4243,0.4139,1,376365.7223,0,1,2024-12-10
721,880,680,826,78,64,98,0,950.8998,21,90912.5064,41121.2193,0.3216,1,1549517.4105,0,0,2024-09-22
753,861,711,739,98,74,62,1,10609.9213,15,54906.636,21542.1781,0.6836,0,1053434.6892,0,0,2024-11-05
762,847,721,697,81,65,90,1,9426.3759,5,4658.5583,0.0,0.0,0,2392584.201,1,1,2024-01-23
689,880,651,728,100,82,71,0,0.0,16,56856.72,23480.4533,0.2815,0,1721272.8121,0,0,2024-09-16
781,864,742,699,83,65,62,1,5142.6197,3,3709.4932,0.0,0.4675,0,1670395.704,1,1,2024-09-30
792,875,752,659,76,62,77,0,0.0,13,47045.6823,19238.0706,0.5925,0,2340908.3097,0,0,2024-03-31
623,862,603,701,52,34,73,1,4629.296,9,18883.3542,481.2197,0.4731,0,1506026.5903,0,0,2024-01-14
753,845,703,700,100,86,81,1,4511.2657,15,55481.4325,23065.7886,0.2879,0,848673.9416,0,0,2024-10-11
