date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2023-11-17,March,1.0,Other,Professional Services,0.1212,1.1093,0.004,2.6168,Energy & Utilities
2023-05-28,January,1.0,Best Buy,Airlines,0.1134,1.0869,0.0015,2.7386,Education
2024-07-10,February,1561.645,Home Depot,Digital Advertising,0.211,0.3312,0.0,4.0786,Agriculture
2024-09-05,February,1.0,Amazon Business,Food & Beverage Distribution,0.1094,0.7317,0.0,3.2046,Retail Trade
2024-11-08,August,1.0,AT&T,Retail - General,0.0912,0.1885,0.0073,4.5073,Agriculture
2024-02-03,November,641.4165,Other,Hotels & Lodging,0.1655,1.1795,0.0011,2.4241,Food Services & Restaurants
2024-02-10,April,12743.7783,Best Buy,Office Supplies,0.6969,2.3137,0.0046,0.4818,Food Services & Restaurants
2023-07-22,July,5698.132,UPS,Construction Materials,0.4123,2.0156,0.0084,1.0078,Construction
2023-09-17,February,5684.5314,Shell Oil,Car Rental,0.411,1.7998,0.0113,1.3996,Food Services & Restaurants
2024-05-10,October,1.0,Microsoft,Food & Beverage Distribution,0.1102,2.0632,0.0107,0.8936,Retail Trade
2023-12-08,July,9253.1256,Other,Office Supplies,0.5298,1.8976,0.0086,1.2631,Food Services & Restaurants
2024-06-27,April,2801.9296,Office Depot,Digital Advertising,0.2738,0.7664,0.0082,3.1599,Government & Public Sector
2024-12-08,May,6971.0666,Google Ads,Car Rental,0.4555,1.8159,0.0038,1.3665,Professional Services
2023-02-25,April,1.0,FedEx,Technology & Software,0.0833,0.8579,0.0065,3.0049,Professional Services
2023-04-05,July,4456.3233,Delta Airlines,Retail - General,0.3491,0.3913,0.0,3.9744,Hospitality & Tourism
2024-02-17,August,7629.1842,Other,Hotels & Lodging,0.4783,1.5078,0.008,1.9378,Food Services & Restaurants
2024-08-31,November,4396.4002,UPS,Technology & Software,0.347,0.8404,0.0,3.0351,Wholesale Trade
2024-07-15,February,904.467,Other,Airlines,0.1791,2.0803,0.0113,0.8152,Technology
2023-10-11,August,1.0,Amazon Business,Technology & Software,0.0,0.6852,0.0046,3.3255,Professional Services
2024-04-10,August,3866.0201,Google Ads,Transportation Services,0.3218,0.5156,0.0077,3.7266,Construction
2023-01-06,July,1.0,Delta Airlines,Shipping & Freight,0.0,0.0992,0.0072,4.6818,Hospitality & Tourism
2023-12-11,June,8570.9491,Costco Wholesale,Food & Beverage Distribution,0.5073,1.2058,0.0084,2.4007,Professional Services
2023-12-02,February,600.9674,UPS,Digital Advertising,0.1634,1.8745,0.0047,1.2864,Retail Trade
2023-06-29,May,11686.9334,Other,Construction Materials,0.6541,1.2073,0.0,2.3932,Construction
2023-12-11,April,2033.5068,Costco Wholesale,Telecommunications,0.2327,3.1951,0.0105,0.0,Construction
2024-02-25,May,1.0,Other,Shipping & Freight,0.0,1.5946,0.0035,1.7889,Healthcare
2024-02-13,June,2655.4279,Office Depot,Wholesale Clubs,0.264,1.2603,0.0099,2.3304,Construction
2023-09-12,February,1.0,Microsoft,Shipping & Freight,0.0,0.6683,0.0096,3.3644,Media & Entertainment
2023-10-26,September,2919.905,Shell Oil,Office Supplies,0.2802,1.9808,0.0092,1.0821,Transportation & Logistics
2024-08-23,June,1.0,Hilton Hotels,Car Rental,0.0,0.5425,0.0,3.6256,Real Estate
2023-08-03,February,2815.0118,Hertz,Construction Materials,0.2776,0.4882,0.014,3.7987,Retail Trade
2024-01-05,February,1982.8994,Amazon Business,Airlines,0.232,0.3311,0.0185,4.0923,Government & Public Sector
2023-10-25,November,1.0,Other,Professional Services,0.0,1.6578,0.0095,1.5729,Nonprofit
2023-09-02,March,1.0,UPS,Hotels & Lodging,0.0,1.2936,0.0044,2.264,Retail Trade
2024-06-12,January,2692.9056,Costco Wholesale,Wholesale Clubs,0.268,1.5171,0.0057,1.9291,Education
2024-10-20,January,4894.3777,Hilton Hotels,Industrial Supplies,0.378,1.1985,0.0091,2.4058,Construction
2024-05-24,November,10441.3805,Other,Office Supplies,0.5666,0.934,0.0058,2.9249,Construction
2023-06-24,September,2849.5979,Hilton Hotels,Digital Advertising,0.2782,0.6702,0.0014,3.3474,Retail Trade
2023-09-22,March,1.0,Hilton Hotels,Professional Services,0.0561,1.8468,0.0087,1.3215,Agriculture
2023-09-05,January,9317.1436,UPS,Construction Materials,0.5323,0.8729,0.0015,2.9816,Manufacturing
2024-05-26,March,1.0,UPS,Car Rental,0.0695,1.6351,0.0033,1.7607,Wholesale Trade
2023-07-12,October,1338.6534,United Airlines,Technology & Software,0.2021,1.4859,0.0109,1.9725,Professional Services
2023-11-25,April,10736.97,Delta Airlines,Retail - General,0.5781,1.9297,0.0,1.2353,Finance & Insurance
2023-11-23,February,7201.4473,Walmart,Airlines,0.4599,0.659,0.0064,3.3867,Agriculture
2023-05-28,February,8501.5313,Home Depot,Hotels & Lodging,0.5033,0.9507,0.0154,2.9227,Construction
2024-02-04,August,4414.4287,Verizon,Car Rental,0.347,0.5958,0.0047,3.5304,Food Services & Restaurants
2024-07-08,April,1.0,Home Depot,Airlines,0.0385,0.5994,0.0052,3.5023,Professional Services
2023-08-14,July,2490.4007,Costco Wholesale,Retail - General,0.2466,1.0943,0.0096,2.6415,Food Services & Restaurants
2024-04-20,April,1951.3627,United Airlines,Retail - General,0.2299,2.1354,0.0096,0.7226,Wholesale Trade
2024-07-29,May,7121.7888,Comcast Business,Airlines,0.4577,0.0,0.0041,5.6801,Real Estate
2023-08-30,July,5584.071,Sysco Foods,Industrial Supplies,0.4038,2.7608,0.0,0.0,Retail Trade
2023-05-09,June,1.0,Meta Ads,Wholesale Clubs,0.0276,1.2227,0.0023,2.359,Education
2024-11-07,April,6177.9155,Hilton Hotels,Fuel & Gas,0.4188,1.174,0.0062,2.453,Transportation & Logistics
2024-03-23,January,986.9012,Hertz,Wholesale Clubs,0.1842,1.2953,0.0012,2.2521,Healthcare
2024-12-01,August,9074.0394,Staples,Car Rental,0.5238,3.0397,0.0046,0.0,Food Services & Restaurants
2023-02-17,October,3153.8209,Amazon Business,Airlines,0.2969,0.1429,0.0054,4.5843,Nonprofit
2023-12-25,August,5669.5519,Costco Wholesale,Technology & Software,0.4081,2.307,0.006,0.4842,Technology
2024-02-01,February,6281.2408,Costco Wholesale,,0.4311,0.8117,0.0108,3.0947,Professional Services
2023-08-31,December,1.0,Staples,Shipping & Freight,0.0,0.9327,0.0115,2.9252,Healthcare
2023-07-28,October,815.8402,Staples,Shipping & Freight,0.1748,0.9877,0.0114,2.8705,Technology
2024-10-17,November,5580.6733,Google Ads,Office Supplies,0.4032,1.7917,0.0046,1.4086,Retail Trade
2023-08-19,August,2476.8351,Grainger,Wholesale Clubs,0.246,1.9898,0.0065,1.0341,Manufacturing
2023-07-25,August,4925.8056,Home Depot,Retail - General,0.3803,0.0,0.0,4.9963,Manufacturing
2024-11-17,May,6528.3932,Amazon Business,Fuel & Gas,0.4385,1.0637,0.0156,2.7946,Hospitality & Tourism
2024-10-31,October,3009.6294,Google Ads,Office Supplies,0.2866,1.4184,0.0033,2.0435,Professional Services
2023-04-14,November,1.0,AT&T,Food & Beverage Distribution,0.056,2.0733,0.0051,0.8612,Construction
2024-08-29,May,14725.6507,Delta Airlines,Retail - General,0.7564,1.1424,0.0088,2.5448,Professional Services
2023-05-29,March,3091.7396,Microsoft,Construction Materials,0.2923,1.3607,0.0057,2.169,Retail Trade
2024-01-12,August,8161.1729,Staples,Hotels & Lodging,0.4935,2.3388,0.0084,0.4484,Healthcare
2023-05-13,December,9725.6298,Staples,Car Rental,0.5459,0.8391,0.0078,3.0418,Professional Services
2023-11-15,September,1.0,Costco Wholesale,Airlines,0.0,0.9474,0.0132,2.9231,Transportation & Logistics
2023-03-08,September,1.0,Microsoft,Office Supplies,0.0,0.9679,0.011,2.8847,Retail Trade
2024-10-15,December,2809.5824,Office Depot,Hotels & Lodging,0.2754,0.5237,0.0081,3.6636,Hospitality & Tourism
2023-01-17,February,5766.2244,Shell Oil,Fuel & Gas,0.4131,2.2141,0.0057,0.5473,Construction
2023-10-01,June,3401.8197,Shell Oil,Office Supplies,0.3036,2.0384,0.0126,0.9488,Retail Trade
2023-10-05,July,7368.3176,Other,Retail - General,0.471,0.8233,0.0081,3.0765,Wholesale Trade
2023-06-26,May,5098.3029,Enterprise Rent-A-Car,Transportation Services,0.3865,1.9755,0.0088,1.1404,Agriculture
2024-10-13,October,9017.8253,Delta Airlines,Shipping & Freight,0.5214,2.661,0.0,0.0106,Agriculture
2024-03-14,March,1297.814,Comcast Business,Office Supplies,0.2015,1.6731,0.0107,1.5523,Food Services & Restaurants
2023-07-25,September,4260.1724,Other,Car Rental,0.342,1.1434,0.0113,2.5389,Healthcare
2024-12-11,March,1320.8532,Office Depot,Office Supplies,0.202,0.5496,0.0,3.6165,Professional Services
2024-11-14,August,1280.5194,Uber Business,Transportation Services,0.1959,1.4298,0.0,2.0426,Media & Entertainment
2023-04-07,February,9408.538,Google Ads,Retail - General,0.5372,0.201,0.0144,4.449,Food Services & Restaurants
2023-08-05,April,2056.0178,Grainger,Fuel & Gas,0.2331,1.3941,0.0031,2.1163,Technology
2024-02-29,September,1.0,Walmart,,0.1485,1.4958,0.0058,1.9637,Technology
2023-01-19,February,7595.2185,Amazon Business,Retail - General,0.4781,0.7788,0.0111,3.1051,Construction
2023-04-06,June,1.0,Shell Oil,Professional Services,0.0734,2.7778,0.0031,0.0,Professional Services
2023-03-01,October,1.0,Marriott,Car Rental,0.0855,0.8818,0.013,2.9726,Construction
2023-12-24,April,1.0,Hertz,Food & Beverage Distribution,0.1,1.3913,0.0181,2.1165,Agriculture
2024-01-16,August,441.2529,Costco Wholesale,Shipping & Freight,0.1616,0.7134,0.0058,3.2057,Food Services & Restaurants
2023-01-19,November,1.0,FedEx,Airlines,0.0846,0.6414,0.008,3.4412,Retail Trade
2024-09-06,June,4331.048,FedEx,Professional Services,0.346,0.6841,0.0041,3.3378,Food Services & Restaurants
2023-11-03,November,5664.2896,Microsoft,Shipping & Freight,0.4079,0.2493,0.0027,4.2996,Professional Services
2023-05-13,August,5564.8269,Home Depot,Construction Materials,0.3999,1.8214,0.0047,1.3602,Manufacturing
2023-12-08,December,6250.6091,Shell Oil,Food & Beverage Distribution,0.4214,1.504,0.008,1.9441,Construction
2024-04-30,June,9924.5939,Google Ads,Technology & Software,0.56,1.7521,0.0,1.4602,Transportation & Logistics
2024-08-05,May,1988.0165,Grainger,Retail - General,0.2324,0.1104,0.0,4.6447,Professional Services
2024-07-13,May,13908.1644,Hertz,Fuel & Gas,0.7285,1.1074,0.0127,2.6209,Energy & Utilities
2024-03-16,January,1.0,Costco Wholesale,Fuel & Gas,0.0845,0.8654,0.0016,2.9846,Agriculture
2024-11-08,October,1.0,UPS,,0.0345,1.5432,0.0068,1.838,Manufacturing
