model_id,driver_rank,driver_variable,driver_direction,driver_value,driver_contribution,driver_description
propensity_v2,1,cust_expr_to_arb_inc_ratio,increasing_risk,0.3452,0.131,High exposure-to-income ratio
risk_v3,3,cbr_score,increasing_risk,2.612,0.0199,Elevated structural risk score
collections_v1,3,cbr_score,decreasing_risk,3.0715,0.0287,Past due history
collections_v1,2,hcam_bal_trnd_indx,decreasing_risk,3.4473,0.0686,High external utilization
collections_v1,3,tot_struct_risk_score,increasing_risk,-1.7895,0.0205,Past due history
risk_v3,3,hcam_src_trnd_indx,decreasing_risk,0.6751,0.05,Elevated structural risk score
risk_v3,3,tot_struct_risk_score,decreasing_risk,-0.0974,0.0624,Rising balance trend
risk_v3,2,cust_expr_to_arb_inc_ratio,increasing_risk,1.8318,0.0683,Strong payment history
risk_v3,3,cust_eff_se_cdss_5_180_day_score,increasing_risk,2.0055,0.0393,Past due history
propensity_v2,5,cust_eff_se_cdss_5_180_day_score,decreasing_risk,-0.4477,-0.0671,High exposure-to-remit ratio
