fico_score,sbfe_score,ln_credit_score,ln_blended_score,css_score,fss_score,paydex_score,delinquent_external_trades,external_delinquency_amount,total_tradelines,overall_external_exposure,overall_external_revolving_balance,avg_external_utilization,amex_primary_lender_indicator,ln_business_value,judgements_org_count,lien_org_count,score_date
737,884,691,712,83,66,98,0,0.0,10,27298.5715,3846.0132,0.2825,0,1774369.4094,1,3,2024-02-10
748,856,700,808,77,63,56,1,4781.6676,10,30529.1809,3948.4176,0.7605,0,1903504.141,0,0,2024-03-16
779,825,732,672,92,67,90,2,10916.7396,18,70498.8361,28732.6767,0.0269,0,989688.4902,0,0,2024-03-26
729,899,684,675,93,67,68,0,0.0,3,0.0,0.0,0.6722,1,1758148.7861,0,0,2024-04-06
690,837,659,687,75,61,84,2,17608.1005,12,38632.6051,9711.9794,0.4045,0,992466.0471,0,0,2024-08-26
773,896,728,729,81,65,83,0,0.0,17,60401.5175,24684.6199,0.4464,0,1927509.6621,0,0,2024-03-30
733,889,691,785,56,39,95,0,0.0,10,32716.6713,4604.3,0.0,0,1870007.1182,0,0,2024-07-29
691,890,659,797,68,56,54,0,0.0,13,42172.7847,15577.9381,0.0039,0,1221904.0206,1,1,2024-07-13
777,895,731,806,65,56,38,0,0.0,20,74576.5069,37940.0499,0.1293,0,1627606.7084,0,0,2024-04-18
731,832,689,675,59,45,41,2,15766.1586,0,0.0,0.0,0.2928,0,1698495.6522,1,1,2024-11-21
