date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2023-03-07,August,2019.1053,Sysco Foods,Airlines,0.2326,1.5202,0.0038,1.9065,Professional Services
2024-09-19,September,9805.8943,Shell Oil,Airlines,0.548,1.7652,0.0103,1.4404,Food Services & Restaurants
2024-01-20,February,4739.0686,Delta Airlines,,0.3717,1.2919,0.0061,2.2732,Technology
2024-07-28,February,3290.5954,UPS,Technology & Software,0.3023,2.2319,0.0022,0.5194,Education
2024-01-01,January,7508.727,Hilton Hotels,Industrial Supplies,0.4768,0.4762,0.0067,3.8325,Transportation & Logistics
2024-04-15,May,7154.1911,Shell Oil,Digital Advertising,0.4591,0.1585,0.0,4.5805,Retail Trade
2023-11-26,January,2557.2565,Shell Oil,Shipping & Freight,0.2528,0.4445,0.0058,3.8913,Retail Trade
2023-02-16,June,8180.2434,United Airlines,Shipping & Freight,0.4964,1.7181,0.002,1.5256,Professional Services
2023-05-01,November,8748.3263,Amazon Business,Telecommunications,0.5145,2.0368,0.0,0.9604,Energy & Utilities
2024-12-10,November,1.0,Best Buy,Car Rental,0.0725,0.8851,0.0057,2.958,Professional Services
2024-07-09,October,11144.9767,AT&T,Office Supplies,0.5914,1.711,0.0076,1.5343,Real Estate
2023-02-02,June,3513.9864,Other,Wholesale Clubs,0.3055,0.0,0.002,6.1695,Construction
2024-11-05,June,2244.0144,Best Buy,Technology & Software,0.2415,0.0,0.0087,6.1337,Retail Trade
2023-08-27,April,3743.9365,Costco Wholesale,Retail - General,0.3155,1.6614,0.0,1.5574,Construction
2024-08-04,December,1.0,UPS,Retail - General,0.0768,1.6447,0.0,1.6876,Professional Services
2023-12-14,August,1886.5768,Home Depot,,0.2256,0.6711,0.0061,3.3443,Food Services & Restaurants
2024-11-18,September,1.0,Delta Airlines,Office Supplies,0.1236,1.2086,0.0091,2.393,Media & Entertainment
2024-05-26,August,7999.8983,Comcast Business,Telecommunications,0.4872,1.1132,0.0112,2.6105,Professional Services
2023-11-15,February,1489.5838,Shell Oil,Shipping & Freight,0.2072,1.6483,0.0191,1.6507,Manufacturing
2023-07-30,October,4057.2642,Microsoft,Construction Materials,0.3315,1.9758,0.0014,1.1379,Finance & Insurance
2024-08-31,August,93.7944,Walmart,Hotels & Lodging,0.1578,2.5809,0.0157,0.1077,Transportation & Logistics
2024-07-29,July,2645.5497,UPS,,0.2592,0.9085,0.0073,2.9517,Healthcare
2023-07-22,December,4479.6694,Hilton Hotels,Professional Services,0.3492,0.03,0.0046,4.8167,Finance & Insurance
2024-02-20,June,1.0,Other,Wholesale Clubs,0.0,1.4391,0.0117,2.0387,Construction
2023-11-18,October,12025.3011,United Airlines,Shipping & Freight,0.6817,2.6737,0.0,0.0,Healthcare
2024-02-18,February,4327.3724,Office Depot,Food & Beverage Distribution,0.3455,1.9845,0.0,1.0488,Construction
2024-02-18,July,690.8373,Hertz,Airlines,0.1716,1.6435,0.0214,1.7337,Transportation & Logistics
2023-08-11,December,2569.9261,Microsoft,Technology & Software,0.2573,2.0769,0.0049,0.8476,Retail Trade
2024-12-19,August,1.0,Walmart,Food & Beverage Distribution,0.0,0.7458,0.0051,3.1829,Manufacturing
2024-09-15,June,6655.1593,Amazon Business,Office Supplies,0.4442,2.3447,0.0088,0.4478,Agriculture
2024-09-17,April,3894.3214,Other,Wholesale Clubs,0.3233,1.1512,0.0066,2.5263,Healthcare
