date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2023-11-13,March,1.0,Office Depot,Shipping & Freight,0.1189,1.1595,0.0095,2.4704,Technology
2023-03-10,August,1.0,Comcast Business,Office Supplies,0.0769,1.254,0.0062,2.3488,Retail Trade
2024-06-08,December,3890.7186,Other,Telecommunications,0.3226,1.3406,0.0064,2.2321,Manufacturing
2023-11-26,January,1.0,FedEx,Retail - General,0.1096,0.9034,0.0069,2.9546,Professional Services
2024-07-25,September,2995.1741,UPS,Airlines,0.2839,0.2643,0.0083,4.2546,Media & Entertainment
2023-11-21,November,1.0,Other,Transportation Services,0.093,0.8778,0.0002,2.9793,Agriculture
2024-10-11,July,11425.842,Costco Wholesale,Technology & Software,0.6133,0.5176,0.0114,3.6851,Education
2024-04-06,February,4712.7281,UPS,Shipping & Freight,0.3668,2.1281,0.0028,0.7763,Wholesale Trade
2023-02-19,November,4203.957,Hilton Hotels,Car Rental,0.3408,1.5132,0.0003,1.9378,Education
2024-07-22,August,10909.0831,Other,Industrial Supplies,0.5815,0.2419,0.0,4.3068,Hospitality & Tourism
2023-12-30,November,2560.2659,Shell Oil,Hotels & Lodging,0.2532,0.6444,0.0,3.4106,Wholesale Trade
2024-05-14,February,1.0,Marriott,Telecommunications,0.0958,0.6448,0.0095,3.4028,Wholesale Trade
2023-10-28,May,2557.2272,Home Depot,Professional Services,0.2527,1.9742,0.0079,1.1689,Manufacturing
2023-12-10,December,1744.7406,Google Ads,Office Supplies,0.2187,3.3078,0.0,0.0,Transportation & Logistics
2024-05-16,November,1.0,Grainger,Retail - General,0.1201,2.4036,0.0115,0.3745,Retail Trade
2024-05-04,April,2694.566,Google Ads,Office Supplies,0.2685,1.2756,0.0077,2.2869,Agriculture
2024-04-05,February,8936.6556,Amazon Business,Office Supplies,0.5156,2.3837,0.008,0.4259,Transportation & Logistics
2024-08-31,December,3586.156,AT&T,Car Rental,0.3062,1.7405,0.01,1.5219,Healthcare
2024-10-18,October,1.0,Grainger,Hotels & Lodging,0.0,0.9923,0.0035,2.8529,Finance & Insurance
2023-04-13,February,1.0,Office Depot,,0.0,1.287,0.0035,2.2808,Manufacturing
2024-08-05,June,1.0,United Airlines,Telecommunications,0.0,0.6925,0.0097,3.3207,Professional Services
2024-05-30,August,1.0,Walmart,Transportation Services,0.0,0.7718,0.0077,3.1261,Construction
2024-01-05,August,1.0,Amazon Business,Shipping & Freight,0.0,0.0,0.0079,5.2373,Food Services & Restaurants
2023-03-25,November,820.3039,Amazon Business,Digital Advertising,0.1757,1.107,0.0085,2.629,Transportation & Logistics
2024-09-17,February,3155.2891,Costco Wholesale,Retail - General,0.2993,0.4678,0.0013,3.85,Retail Trade
2024-04-08,September,7344.9894,Office Depot,Shipping & Freight,0.4681,1.114,0.0063,2.6065,Transportation & Logistics
2024-08-04,May,3892.8796,Other,Hotels & Lodging,0.3231,1.0657,0.0131,2.775,Construction
2023-11-16,November,5832.8633,Delta Airlines,Airlines,0.4138,0.3638,0.0008,4.0258,Retail Trade
2024-12-26,January,1.0,Costco Wholesale,Telecommunications,0.0,1.0759,0.0089,2.7564,Retail Trade
2023-02-12,June,2267.0636,FedEx,Wholesale Clubs,0.2422,2.4603,0.0,0.3348,Food Services & Restaurants
2023-11-14,December,1.0,Microsoft,Office Supplies,0.0,0.0251,0.0138,4.8231,Education
