fico_score,sbfe_score,ln_credit_score,ln_blended_score,css_score,fss_score,paydex_score,delinquent_external_trades,external_delinquency_amount,total_tradelines,overall_external_exposure,overall_external_revolving_balance,avg_external_utilization,amex_primary_lender_indicator,ln_business_value,judgements_org_count,lien_org_count,score_date
700,861,663,717,47,34,71,1,4664.563,27,107588.7209,47783.3793,0.8599,0,1888883.6945,0,0,2024-01-16
662,904,624,661,73,60,98,0,1793.0972,3,0.0,0.0,0.6225,0,2093862.5466,0,0,2024-02-14
754,896,714,762,73,59,84,0,0.0,8,13537.369,0.0,0.2455,0,2398797.2612,1,1,2024-05-20
744,869,698,718,68,56,54,0,0.0,11,34864.8972,5629.4086,0.3829,0,1350367.6481,0,0,2024-03-06
787,879,752,656,79,64,99,0,0.0,19,71506.6388,29626.8232,0.4659,0,1039574.8011,0,0,2024-03-08
709,866,664,734,74,61,64,0,0.0,12,41516.2332,10454.688,0.2677,0,1817685.5714,1,1,2024-11-07
678,839,636,741,67,56,72,1,4895.3748,7,9448.1075,0.0,0.1762,0,1541810.5387,0,0,2024-07-14
850,888,856,803,70,58,81,0,0.0,20,81007.3826,39051.3498,0.1695,0,2179610.3001,0,0,2024-03-30
714,824,669,665,100,84,96,3,18615.8442,14,52518.9435,19349.875,0.3152,0,953264.3148,0,0,2024-01-28
758,848,718,712,60,49,94,1,10847.947,15,52593.7357,19482.6502,0.3337,0,1460135.2181,0,0,2024-07-08
