model_id,driver_rank,driver_variable,driver_direction,driver_value,driver_contribution,driver_description
propensity_v2,1,cust_expsr_avg_rem_12m_ratio,increasing_risk,-2.4512,0.1122,Low revolve rate (high paydown)
collections_v1,4,cust_eff_se_cdss_5_180_day_score,decreasing_risk,-0.2373,-0.0023,Rising balance trend
collections_v1,4,lvrg_debt_remit,decreasing_risk,2.2126,-0.0201,Payment channel risk
propensity_v2,1,lvrg_debt_remit,increasing_risk,-2.7363,0.2001,High inquiry index
risk_v3,4,hcam_bal_trnd_indx,increasing_risk,2.9229,-0.0377,High debt servicing ratio
propensity_v2,1,lvrg_debt_remit,decreasing_risk,-0.0102,0.197,Internal delinquency detected
collections_v1,3,cust_eff_se_cdss_5_180_day_score,increasing_risk,1.2879,0.0572,Low revolve rate (high paydown)
risk_v3,4,cbr_score,decreasing_risk,-1.7563,-0.0368,High leverage ratio
collections_v1,2,cust_rnn_score,decreasing_risk,-0.9683,0.0753,High exposure-to-remit ratio
risk_v3,1,avutil_exrvlv_balgt50,increasing_risk,-0.309,0.0877,High debt servicing ratio
