fico_score,sbfe_score,ln_credit_score,ln_blended_score,css_score,fss_score,paydex_score,delinquent_external_trades,external_delinquency_amount,total_tradelines,overall_external_exposure,overall_external_revolving_balance,avg_external_utilization,amex_primary_lender_indicator,ln_business_value,judgements_org_count,lien_org_count,score_date
793,894,775,668,99,75,49,0,0.0,22,103201.8231,44000.0907,0.7196,1,1406164.5045,0,0,2024-10-05
699,867,662,727,65,56,67,0,2555.0491,6,7355.1162,0.0,0.312,1,690064.0028,0,0,2024-08-08
765,865,722,684,58,43,79,1,6953.3689,10,23449.1473,3540.9249,0.0866,0,570082.2967,0,0,2024-11-23
766,865,722,767,86,67,73,1,3482.6052,7,11950.8213,0.0,0.2719,0,1314141.6517,0,0,2024-03-06
762,841,719,742,82,65,69,1,10537.7793,15,53135.5296,19840.4421,0.4898,0,2524377.8254,0,0,2024-05-31
808,862,783,799,100,78,48,1,8428.6802,18,67261.3377,27859.1367,0.2433,0,1819813.2047,0,0,2024-11-17
688,855,641,731,69,56,82,1,5423.1235,9,14858.8968,0.0,0.4549,0,1818453.1417,0,0,2024-11-16
772,861,726,729,46,22,62,1,4790.2072,16,58371.8051,24277.3873,0.3844,0,860079.5212,0,0,2024-09-20
691,872,661,711,77,63,77,0,0.0,11,38614.0677,7375.0811,0.2072,0,2175312.5605,0,0,2024-02-29
719,835,679,752,62,52,63,2,17497.8493,13,42280.7898,19234.97,0.0511,1,1530192.9642,0,0,2024-01-02
